tournament_year,stage,player_1name,player_2name,player_1score,player_2score
2010,3RD PLACE,Webster M.,van Barneveld R.,10.0,8.0
1998,3RD PLACE,Harrington R.,Deller K.,4.0,1.0
1997,3RD PLACE,Bristow E.,Evison P.,2.0,4.0
1995,3RD PLACE,Evison P.,Lowe J.,2.0,4.0
1994,3RD PLACE,Evison P.,Brown S.,1.0,5.0
