tournament_year,stage,player_1name,player_2name,player_1score,player_2score
2022,1/8-FINALS,Wright P.,Searle R.,4.0,1.0
2022,1/8-FINALS,Anderson G.,Cross R.,4.0,3.0
2022,1/8-FINALS,Wade J.,Kleermaker M.,4.0,0.0
2022,1/8-FINALS,Dobey C.,Humphries L.,3.0,4.0
2022,1/8-FINALS,Soutar A.,Rydz C.,1.0,4.0
2022,1/8-FINALS,Smith R.,King M.,3.0,4.0
2022,1/8-FINALS,Clayton J.,Smith M.,3.0,4.0
2022,1/8-FINALS,Price G.,van Duijvenbode D.,4.0,1.0
2021,1/8-FINALS,Chisnall D.,van den Bergh D.,4.0,2.0
2021,1/8-FINALS,Price G.,King M.,4.0,1.0
2021,1/8-FINALS,van Duijvenbode D.,Durrant G.,4.0,3.0
2021,1/8-FINALS,Petersen D.,Anderson G.,0.0,4.0
2021,1/8-FINALS,Bunting S.,Searle R.,4.0,3.0
2021,1/8-FINALS,Van der Voort V.,Gurney D.,2.0,4.0
2021,1/8-FINALS,van Gerwen M.,Cullen J.,4.0,3.0
2021,1/8-FINALS,Clemens G.,Ratajski K.,3.0,4.0
2020,1/8-FINALS,Price G.,Whitlock S.,4.0,2.0
2020,1/8-FINALS,Durrant G.,Dobey C.,4.0,3.0
2020,1/8-FINALS,Wright P.,de Zwaan J.,4.0,3.0
2020,1/8-FINALS,van den Bergh D.,Lewis A.,4.0,3.0
2020,1/8-FINALS,Huybrechts K.,Humphries L.,1.0,4.0
2020,1/8-FINALS,Beaton S.,Labanauskas D.,2.0,4.0
2020,1/8-FINALS,van Gerwen M.,Bunting S.,4.0,0.0
2020,1/8-FINALS,Anderson G.,Aspinall N.,2.0,4.0
2019,1/8-FINALS,Cross R.,Humphries L.,2.0,4.0
2019,1/8-FINALS,Lewis J.,Chisnall D.,0.0,4.0
2019,1/8-FINALS,Searle R.,Smith M.,1.0,4.0
2019,1/8-FINALS,Joyce R.,Wade J.,4.0,3.0
2019,1/8-FINALS,van de Pas B.,Dolan B.,1.0,4.0
2019,1/8-FINALS,Aspinall N.,Petersen D.,4.0,3.0
2019,1/8-FINALS,van Gerwen M.,Lewis A.,4.0,1.0
2019,1/8-FINALS,Anderson G.,Dobey C.,4.0,3.0
2018,1/8-FINALS,Anderson G.,West S.,4.0,2.0
2018,1/8-FINALS,Taylor P.,Brown K.,4.0,0.0
2018,1/8-FINALS,Lewis J.,Richardson J.,4.0,1.0
2018,1/8-FINALS,Henderson J.,Cross R.,1.0,4.0
2018,1/8-FINALS,Suljovic M.,van den Bergh D.,0.0,4.0
