tournament_year,stage,player_1name,player_2name,player_1score,player_2score
2001,QUARTER-FINALS,Scholten R.,Harrington R.,2.0,4.0
2000,QUARTER-FINALS,Lowe J.,Smith D.,3.0,5.0
2000,QUARTER-FINALS,Manley P.,Evison P.,5.0,1.0
2000,QUARTER-FINALS,Priestley D.,Burgess S.,5.0,4.0
2000,QUARTER-FINALS,Warriner-Little A.,Taylor P.,0.0,5.0
1999,QUARTER-FINALS,Burgess S.,Lazarenko C.,4.0,1.0
1999,QUARTER-FINALS,Smith D.,Manley P.,0.0,4.0
1999,QUARTER-FINALS,Taylor P.,Anderson B.,4.0,0.0
1999,QUARTER-FINALS,Warriner-Little A.,Ferrell J.,4.0,1.0
1998,QUARTER-FINALS,Deller K.,Robinson H.,4.0,1.0
1998,QUARTER-FINALS,Harrington R.,Evison P.,4.0,0.0
1998,QUARTER-FINALS,Priestley D.,Manley P.,4.0,3.0
1998,QUARTER-FINALS,Taylor P.,Burgess S.,4.0,0.0
1998,QUARTER-FINALS,Anderson B.,Verrier G.,3.0,1.0
1998,QUARTER-FINALS,Bristow E.,Raw S.,0.0,3.0
1998,QUARTER-FINALS,Brown S.,Robinson H.,3.0,2.0
1998,QUARTER-FINALS,Burgess S.,Anderson B.,3.0,0.0
1998,QUARTER-FINALS,Burgess S.,Verrier G.,3.0,0.0
1998,QUARTER-FINALS,Deller K.,Manning M.,2.0,3.0
1998,QUARTER-FINALS,Deller K.,Stoddart G.,3.0,1.0
1998,QUARTER-FINALS,Evison P.,Lim P.,3.0,0.0
1998,QUARTER-FINALS,Evison P.,Part J.,3.0,2.0
1998,QUARTER-FINALS,Harrington R.,Ferrell J.,3.0,0.0
1998,QUARTER-FINALS,Harrington R.,Harvey J.,3.0,2.0
1998,QUARTER-FINALS,Harvey J.,Ferrell J.,3.0,0.0
1998,QUARTER-FINALS,Lim P.,Part J.,1.0,3.0
1998,QUARTER-FINALS,Manley P.,Lowe J.,3.0,0.0
1998,QUARTER-FINALS,Manley P.,Mawson G.,3.0,0.0
1998,QUARTER-FINALS,Manning M.,Stoddart G.,0.0,3.0
1998,QUARTER-FINALS,Mawson G.,Lowe J.,0.0,3.0
1998,QUARTER-FINALS,Priestley D.,Bristow E.,3.0,0.0
1998,QUARTER-FINALS,Priestley D.,Raw S.,3.0,0.0
1998,QUARTER-FINALS,Smith D.,Spiolek K.,3.0,1.0
1998,QUARTER-FINALS,Taylor P.,Smith D.,3.0,0.0
1998,QUARTER-FINALS,Taylor P.,Spiolek K.,3.0,0.0
