tournament_year,stage,player_1name,player_2name,player_1score,player_2score
2022,1/16-FINALS,Anderson G.,White I.,4.0,3.0
2022,1/16-FINALS,Aspinall N.,Rydz C.,0.0,4.0
2022,1/16-FINALS,Chisnall D.,Humphries L.,,
2022,1/16-FINALS,de Sousa J.,Soutar A.,3.0,4.0
2022,1/16-FINALS,van Gerwen M.,Dobey C.,,
2022,1/16-FINALS,Wright P.,Heta D.,4.0,2.0
2022,1/16-FINALS,Cross R.,Gurney D.,4.0,3.0
2022,1/16-FINALS,Cullen J.,Kleermaker M.,3.0,4.0
2022,1/16-FINALS,Searle R.,Noppert D.,4.0,2.0
2022,1/16-FINALS,Lennon S.,King M.,0.0,4.0
2022,1/16-FINALS,Clayton J.,Clemens G.,4.0,0.0
2022,1/16-FINALS,Price G.,Huybrechts K.,4.0,3.0
2022,1/16-FINALS,Wade J.,Van der Voort V.,,
2022,1/16-FINALS,Hempel F.,Smith R.,1.0,4.0
2022,1/16-FINALS,Smith M.,O'Connor W.,4.0,2.0
2022,1/16-FINALS,Smith R.,van Duijvenbode D.,3.0,4.0
2021,1/16-FINALS,Chisnall D.,Noppert D.,4.0,2.0
2021,1/16-FINALS,Lowe J.,Petersen D.,0.0,4.0
2021,1/16-FINALS,Gurney D.,Dobey C.,4.0,1.0
2021,1/16-FINALS,Wade J.,Bunting S.,2.0,4.0
2021,1/16-FINALS,Durrant G.,Baggish D.,4.0,2.0
2021,1/16-FINALS,Price G.,Dolan B.,4.0,3.0
2021,1/16-FINALS,Anderson G.,Suljovic M.,4.0,3.0
2021,1/16-FINALS,Aspinall N.,Van der Voort V.,2.0,4.0
2021,1/16-FINALS,van Duijvenbode D.,Hunt A.,4.0,0.0
2021,1/16-FINALS,de Sousa J.,King M.,0.0,4.0
2021,1/16-FINALS,van Gerwen M.,Evans R.,4.0,0.0
2021,1/16-FINALS,Wright P.,Clemens G.,3.0,4.0
2021,1/16-FINALS,Cullen J.,Clayton J.,4.0,3.0
2021,1/16-FINALS,van den Bergh D.,Wattimena J.,4.0,0.0
2021,1/16-FINALS,Huybrechts K.,Searle R.,2.0,4.0
2021,1/16-FINALS,Ratajski K.,Whitlock S.,4.0,0.0
2020,1/16-FINALS,Price G.,Henderson J.,4.0,0.0
2020,1/16-FINALS,Sherrock F.,Dobey C.,2.0,4.0
2020,1/16-FINALS,Gurney D.,Durrant G.,2.0,4.0
2020,1/16-FINALS,Whitlock S.,King M.,4.0,1.0
2020,1/16-FINALS,Wright P.,Asada S.,4.0,2.0
2020,1/16-FINALS,Anderson G.,Searle R.,4.0,3.0
2020,1/16-FINALS,Chisnall D.,de Zwaan J.,3.0,4.0
2020,1/16-FINALS,Woodhouse L.,van den Bergh D.,2.0,4.0
2020,1/16-FINALS,Lewis A.,Webster D.,4.0,3.0
2020,1/16-FINALS,Kurz N.,Humphries L.,2.0,4.0
2020,1/16-FINALS,van Gerwen M.,Evans R.,4.0,0.0
2020,1/16-FINALS,Huybrechts K.,Noppert D.,4.0,2.0
