tournament_year,stage,player_1name,player_2name,player_1score,player_2score
2022,1/32-FINALS,Dobey C.,Rodriguez Ru. J.,3.0,2.0
2022,1/32-FINALS,Cross R.,van Barneveld R.,3.0,1.0
2022,1/32-FINALS,Clemens G.,Williams L.,3.0,0.0
2022,1/32-FINALS,Noppert D.,Heaver J.,3.0,1.0
2022,1/32-FINALS,de Sousa J.,Lowe J.,3.0,2.0
2022,1/32-FINALS,Suljovic M.,Soutar A.,2.0,3.0
2022,1/32-FINALS,Dolan B.,Rydz C.,0.0,3.0
2022,1/32-FINALS,Heta D.,Woodhouse L.,3.0,1.0
2022,1/32-FINALS,Whitlock S.,Kleermaker M.,1.0,3.0
2022,1/32-FINALS,Huybrechts K.,Beaton S.,3.0,1.0
2022,1/32-FINALS,van Duijvenbode D.,Koltsov B.,3.0,2.0
2022,1/32-FINALS,Aspinall N.,Murnan J.,3.0,2.0
2022,1/32-FINALS,Cullen J.,Williams J.,3.0,2.0
2022,1/32-FINALS,Humphries L.,Rodriguez R.-J.,3.0,0.0
2022,1/32-FINALS,Durrant G.,O'Connor W.,0.0,3.0
2022,1/32-FINALS,Searle R.,Borland W.,3.0,0.0
2022,1/32-FINALS,Petersen D.,Smith R.,0.0,3.0
2022,1/32-FINALS,van den Bergh D.,Hempel F.,1.0,3.0
2022,1/32-FINALS,Smith M.,Meulenkamp R.,3.0,0.0
2022,1/32-FINALS,Van der Voort V.,Hunt A.,3.0,0.0
2022,1/32-FINALS,Chisnall D.,de Decker M.,3.0,0.0
2022,1/32-FINALS,King M.,Joyce R.,3.0,2.0
2022,1/32-FINALS,Wade J.,Kuivenhoven M.,3.0,1.0
2022,1/32-FINALS,Clayton J.,Barry K.,3.0,2.0
2022,1/32-FINALS,Bunting S.,Smith R.,2.0,3.0
2022,1/32-FINALS,van Gerwen M.,Barstow C.,3.0,1.0
2022,1/32-FINALS,White I.,Landman C.,3.0,1.0
2022,1/32-FINALS,Wright P.,Meikle R.,3.0,0.0
2022,1/32-FINALS,Ratajski K.,Lennon S.,1.0,3.0
2022,1/32-FINALS,Anderson G.,Lewis A.,3.0,1.0
2022,1/32-FINALS,Gurney D.,Evans R.,3.0,1.0
2022,1/32-FINALS,Price G.,Edhouse R.,3.0,1.0
2021,1/32-FINALS,Smith M.,Lowe J.,1.0,3.0
2021,1/32-FINALS,Aspinall N.,Waites S.,3.0,2.0
2021,1/32-FINALS,Wattimena J.,Kenny N.,3.0,1.0
2021,1/32-FINALS,Chisnall D.,Brown K.,3.0,1.0
2021,1/32-FINALS,Suljovic M.,Edgar M.,3.0,1.0
2021,1/32-FINALS,Bunting S.,Boulton A.,3.0,2.0
2021,1/32-FINALS,Anderson G.,Razma M.,3.0,1.0
2021,1/32-FINALS,Evans R.,Mansell M.,3.0,1.0
2021,1/32-FINALS,van den Bergh D.,Lim P.,3.0,0.0
2021,1/32-FINALS,Cross R.,van Duijvenbode D.,2.0,3.0
2021,1/32-FINALS,Petersen D.,Lennon S.,3.0,1.0
2021,1/32-FINALS,Noppert D.,Carolissen C.,3.0,1.0
2021,1/32-FINALS,Lewis A.,Baggish D.,1.0,3.0
2021,1/32-FINALS,Whitlock S.,Labanauskas D.,3.0,2.0
2021,1/32-FINALS,Cullen J.,Jones W.,3.0,0.0
2021,1/32-FINALS,Dolan B.,Foulkes E.,3.0,1.0
2021,1/32-FINALS,Clemens G.,Kurz N.,3.0,1.0
2021,1/32-FINALS,Price G.,Lewis J.,3.0,2.0
2021,1/32-FINALS,White I.,Huybrechts K.,1.0,3.0
2021,1/32-FINALS,Ratajski K.,Joyce R.,3.0,0.0
2021,1/32-FINALS,Clayton J.,Henderson J.,3.0,1.0
2021,1/32-FINALS,de Zwaan J.,Searle R.,0.0,3.0
2021,1/32-FINALS,Van der Voort V.,Meulenkamp R.,3.0,2.0
2021,1/32-FINALS,van Gerwen M.,Murray R.,3.0,1.0
2021,1/32-FINALS,King M.,Hopp M.,3.0,1.0
2021,1/32-FINALS,Wade J.,Rydz C.,3.0,0.0
2021,1/32-FINALS,Hughes J.,Hunt A.,0.0,3.0
2021,1/32-FINALS,de Sousa J.,Smith R.,3.0,1.0
2021,1/32-FINALS,Gurney D.,O'Connor W.,3.0,2.0
2021,1/32-FINALS,Durrant G.,Portela D.,3.0,0.0
2021,1/32-FINALS,Dobey C.,Smith J.,3.0,2.0
2021,1/32-FINALS,Wright P.,West S.,3.0,1.0
2020,1/32-FINALS,van den Bergh D.,Payne J.,3.0,0.0
2020,1/32-FINALS,Suljovic M.,Sherrock F.,1.0,3.0
2020,1/32-FINALS,Durrant G.,Heta D.,3.0,0.0
2020,1/32-FINALS,Gurney D.,Pipe J.,3.0,0.0
2020,1/32-FINALS,Lewis A.,Reyes C.,3.0,2.0
2020,1/32-FINALS,West S.,Searle R.,0.0,3.0
2020,1/32-FINALS,Whitlock S.,Ward H.,3.0,0.0
2020,1/32-FINALS,Brown K.,Asada S.,2.0,3.0
2020,1/32-FINALS,Wright P.,Malicdem N.,3.0,2.0
2020,1/32-FINALS,Hopp M.,van de Pas B.,3.0,2.0
2020,1/32-FINALS,Cullen J.,Kurz N.,1.0,3.0
2020,1/32-FINALS,Aspinall N.,Baggish D.,3.0,1.0
2020,1/32-FINALS,Evans R.,McGeeney M.,3.0,1.0
2020,1/32-FINALS,Clayton J.,Dekker J.,3.0,0.0
2020,1/32-FINALS,King M.,Teehan C.,3.0,2.0
2020,1/32-FINALS,Webster D.,Yamada Y.,3.0,0.0
2020,1/32-FINALS,Price G.,O'Connor W.,3.0,2.0
2020,1/32-FINALS,Chisnall D.,Van der Voort V.,3.0,1.0
2020,1/32-FINALS,Noppert D.,Rydz C.,3.0,2.0
2020,1/32-FINALS,Dobey C.,Meulenkamp R.,3.0,2.0
2020,1/32-FINALS,Beaton S.,Anderson K.,3.0,1.0
2020,1/32-FINALS,Henderson J.,Richardson J.,3.0,0.0
2020,1/32-FINALS,Wade J.,Edhouse R.,3.0,0.0
2020,1/32-FINALS,Bunting S.,Justicia J.,3.0,2.0
2020,1/32-FINALS,de Zwaan J.,Young D.,3.0,2.0
2020,1/32-FINALS,Ratajski K.,Lerchbacher Z.,3.0,1.0
2020,1/32-FINALS,Anderson G.,Dolan B.,3.0,0.0
2020,1/32-FINALS,Smith M.,Woodhouse L.,1.0,3.0
2020,1/32-FINALS,White I.,Labanauskas D.,1.0,3.0
2020,1/32-FINALS,Cross R.,Huybrechts K.,0.0,3.0
2020,1/32-FINALS,Wattimena J.,Humphries L.,2.0,3.0
2020,1/32-FINALS,van Gerwen M.,Klaasen J.,3.0,1.0
2019,1/32-FINALS,Clayton J.,van den Bergh D.,1.0,3.0
2019,1/32-FINALS,Price G.,Aspinall N.,2.0,3.0
2019,1/32-FINALS,Klaasen J.,Brown K.,1.0,3.0
2019,1/32-FINALS,White I.,Petersen D.,2.0,3.0
2019,1/32-FINALS,Anderson K.,Malicdem N.,3.0,1.0
2019,1/32-FINALS,West S.,North R.,3.0,1.0
2019,1/32-FINALS,Henderson J.,Clemens G.,3.0,2.0
2019,1/32-FINALS,van de Pas B.,Long J.,3.0,2.0
2019,1/32-FINALS,Suljovic M.,Searle R.,1.0,3.0
2019,1/32-FINALS,Lewis A.,Evetts T.,3.0,0.0
2019,1/32-FINALS,King M.,Dekker J.,3.0,2.0
2019,1/32-FINALS,Reyes C.,Rodriguez R.-J.,3.0,2.0
2019,1/32-FINALS,Beaton S.,Dobey C.,0.0,3.0
2019,1/32-FINALS,Bunting S.,Humphries L.,1.0,3.0
2019,1/32-FINALS,Norris A.,Lennon S.,3.0,2.0
2019,1/32-FINALS,Wattimena J.,Barnard M.,3.0,0.0
2019,1/32-FINALS,Wade J.,Asada S.,3.0,2.0
2019,1/32-FINALS,Smith M.,Meulenkamp R.,3.0,1.0
2019,1/32-FINALS,Whitlock S.,Joyce R.,0.0,3.0
2019,1/32-FINALS,Wilson J.,O'Connor W.,2.0,3.0
2019,1/32-FINALS,Huybrechts K.,Larsson D.,3.0,0.0
2019,1/32-FINALS,Cullen J.,Dolan B.,0.0,3.0
2019,1/32-FINALS,Gurney D.,Smith R.,3.0,0.0
2019,1/32-FINALS,Webster D.,Van der Voort V.,0.0,3.0
2019,1/32-FINALS,van Barneveld R.,Labanauskas D.,2.0,3.0
2019,1/32-FINALS,Wright P.,Alcinas T.,1.0,3.0
2019,1/32-FINALS,Chisnall D.,Payne J.,3.0,2.0
2019,1/32-FINALS,van Gerwen M.,Tabern A.,3.0,1.0
2019,1/32-FINALS,Hopp M.,Noppert D.,3.0,0.0
2019,1/32-FINALS,Anderson G.,Burness K.,3.0,1.0
2019,1/32-FINALS,Lewis J.,Harris C.,3.0,2.0
2019,1/32-FINALS,Cross R.,de Zwaan J.,3.0,1.0
2018,1/32-FINALS,Wright P.,Portela D.,3.0,1.0
2018,1/32-FINALS,Webster D.,Petersen D.,3.0,2.0
2018,1/32-FINALS,Huybrechts K.,Richardson J.,0.0,3.0
2018,1/32-FINALS,Reyes C.,Alcinas T.,1.0,3.0
2018,1/32-FINALS,Pipe J.,Smith B.,3.0,2.0
2018,1/32-FINALS,Whitlock S.,Schindler M.,3.0,1.0
2018,1/32-FINALS,Smith M.,Lennon S.,3.0,2.0
2018,1/32-FINALS,Lewis A.,Munch K.,1.0,3.0
2018,1/32-FINALS,van Barneveld R.,North R.,3.0,0.0
2018,1/32-FINALS,Henderson J.,Kantele M.,3.0,0.0
2018,1/32-FINALS,Webster M.,Lim P.,2.0,3.0
2018,1/32-FINALS,Gurney D.,Huybrechts R.,3.0,1.0
2018,1/32-FINALS,Suljovic M.,Painter K.,3.0,0.0
2018,1/32-FINALS,White I.,Harris C.,3.0,1.0
2018,1/32-FINALS,Chisnall D.,Van der Voort V.,0.0,3.0
2018,1/32-FINALS,Wade J.,Brown K.,2.0,3.0
2018,1/32-FINALS,Clayton J.,Lewis J.,0.0,3.0
2018,1/32-FINALS,Anderson K.,Jacques P.,3.0,1.0
2018,1/32-FINALS,Norris A.,Viljanen K.,3.0,0.0
2018,1/32-FINALS,Anderson G.,Smith J.,3.0,0.0
2018,1/32-FINALS,Klaasen J.,Dekker J.,1.0,3.0
2018,1/32-FINALS,Cullen J.,Wattimena J.,2.0,3.0
2018,1/32-FINALS,Thornton R.,Dolan B.,3.0,1.0
2018,1/32-FINALS,King M.,Lerchbacher Z.,2.0,3.0
2018,1/32-FINALS,van de Pas B.,West S.,1.0,3.0
2018,1/32-FINALS,Cross R.,Asada S.,3.0,0.0
2018,1/32-FINALS,Taylor P.,Dobey C.,3.0,1.0
2018,1/32-FINALS,Bunting S.,van den Bergh D.,1.0,3.0
2018,1/32-FINALS,Price G.,Evetts T.,3.0,0.0
2018,1/32-FINALS,van Gerwen M.,Kist C.,3.0,1.0
2018,1/32-FINALS,Wilson J.,Ratajski K.,3.0,1.0
2018,1/32-FINALS,Beaton S.,O'Connor W.,3.0,1.0
2017,1/32-FINALS,Huybrechts K.,Wilson J.,3.0,0.0
2017,1/32-FINALS,Chisnall D.,Rodriguez R.-J.,3.0,2.0
2017,1/32-FINALS,Van der Voort V.,Hopp M.,1.0,3.0
2017,1/32-FINALS,Klaasen J.,de Graaf J.,3.0,1.0
2017,1/32-FINALS,Thornton R.,Lerchbacher Z.,3.0,0.0
2017,1/32-FINALS,Wade J.,Huybrechts R.,3.0,0.0
2017,1/32-FINALS,Suljovic M.,Meulenkamp R.,3.0,0.0
2017,1/32-FINALS,Whitlock S.,Horvat D.,3.0,0.0
2017,1/32-FINALS,van Barneveld R.,Green R.,3.0,0.0
2017,1/32-FINALS,Dolan B.,Kist C.,3.0,1.0
2017,1/32-FINALS,Cullen J.,Cadby C.,3.0,1.0
2017,1/32-FINALS,Lewis A.,Caris M.,3.0,0.0
2017,1/32-FINALS,King M.,West S.,3.0,2.0
2017,1/32-FINALS,Taylor P.,Platt D.,3.0,0.0
2017,1/32-FINALS,Norris A.,Michael J.,3.0,2.0
2017,1/32-FINALS,Gurney D.,Wattimena J.,3.0,1.0
2017,1/32-FINALS,White I.,Simm K.,3.0,0.0
2017,1/32-FINALS,Webster M.,Murnan J.,3.0,0.0
2017,1/32-FINALS,Pipe J.,Dobey C.,1.0,3.0
2017,1/32-FINALS,van Gerwen M.,Viljanen K.,3.0,0.0
2017,1/32-FINALS,Bunting S.,Webster D.,2.0,3.0
2017,1/32-FINALS,Reyes C.,van den Bergh D.,3.0,2.0
2017,1/32-FINALS,van de Pas B.,Shah T. H.,3.0,1.0
2017,1/32-FINALS,Henderson J.,Gilding A.,2.0,3.0
2017,1/32-FINALS,Jenkins T.,Payne J.,3.0,1.0
2017,1/32-FINALS,Wright P.,Hendriks J.,3.0,0.0
2017,1/32-FINALS,Beaton S.,Petersen D.,3.0,1.0
2017,1/32-FINALS,Price G.,Clayton J.,1.0,3.0
2017,1/32-FINALS,Smith M.,Evans R.,3.0,2.0
2017,1/32-FINALS,Anderson G.,Frost M.,3.0,0.0
2017,1/32-FINALS,Lewis J.,McGowan M.,3.0,2.0
2017,1/32-FINALS,Caven J.,Painter K.,1.0,3.0
2016,1/32-FINALS,Klaasen J.,Cullen J.,3.0,0.0
2016,1/32-FINALS,Lewis A.,Dekker J.,3.0,0.0
2016,1/32-FINALS,van de Pas B.,Hopp M.,3.0,1.0
2016,1/32-FINALS,Gilding A.,Price G.,3.0,0.0
2016,1/32-FINALS,Jenkins T.,Young D.,3.0,1.0
2016,1/32-FINALS,Chisnall D.,Rodriguez R.-J.,3.0,0.0
2016,1/32-FINALS,Newton W.,Reyes C.,3.0,1.0
2016,1/32-FINALS,Winstanley D.,Huybrechts R.,2.0,3.0
2016,1/32-FINALS,Wade J.,Michael J.,3.0,0.0
2016,1/32-FINALS,Smith M.,de Zwaan J.,3.0,2.0
2016,1/32-FINALS,Thornton R.,Norris A.,0.0,3.0
2016,1/32-FINALS,King M.,Oreshkin A.,3.0,2.0
2016,1/32-FINALS,van Barneveld R.,van Duijvenbode D.,3.0,0.0
