source;target
Anderson B.;Smith D.
Baxter R.;Painter K.
Beaton S.;Dudbridge M.
Lloyd C.;Mardle W.
Manley P.;Deller K.
Taylor P.;Priestley D.
Warriner-Little A.;Roy A.
Whatley S.;Sams L.
Ovens D.;Roy A.
Warriner-Little A.;Lowe J.
Burnett R.;Whatley S.
Harvey J.;Beaton S.
Lloyd C.;Evison P.
Mardle W.;Maish S.
Priestley D.;Buckle R.
Scholten R.;Sams L.
Taylor P.;McGarry C.
Askew D.;Deller K.
Baxter R.;Clarys E.
Jenkins A.;Anderson B.
Manley P.;Atwood W.
Painter K.;Williams P.
Part J.;Dudbridge M.
Smith D.;Fitton L.
Atwood W.;Manning M.
Buckle R.;Brown S.
Clarys E.;Walsh M.
MacKay A.;Sams L.
Maish S.;Lazarenko C.
McGarry C.;Holden M.
Smith S.;Dudbridge M.
Widdows R.;Whatley S.
Atwood W.;Sano T.
Buckle R.;Van der Rassel J.
Clarys E.;Lauby D. Sr.
MacKay A.;Jouannet B.
Maish S.;Payne T.
McGarry C.;Orvis R.
Smith S.;Madhoo N.
Widdows R.;O'Neill H.
Taylor P.;Part J.
Painter K.;Part J.
Taylor P.;Warriner-Little A.
Mason C.;Part J.
Painter K.;Burnett R.
Scholten R.;Warriner-Little A.
Taylor P.;Smith D.
Baxter R.;Painter K.
Burnett R.;Whitlock S.
Harvey J.;Part J.
Lloyd C.;Mason C.
Fitton L.;Warriner-Little A.
Ovens D.;Smith D.
Scholten R.;Askew D.
Taylor P.;Mardle W.
Baxter R.;Manning M.
Burnett R.;Deller K.
Jenkins A.;Mason C.
Lloyd C.;Anderson B.
Manley P.;Whitlock S.
Painter K.;Harding R.
Askew D.;Beaton S.
Lowe J.;Fitton L.
Ovens D.;Roy A.
Part J.;Lazarenko C.
Scholten R.;Burgess S.
Warriner-Little A.;Harrington R.
Evison P.;Mardle W.
Harvey J.;Holden M.
Smith D.;Priestley D.
Taylor P.;Brown S.
Anderson B.;Hedman A.
Manning M.;Palfreyman L.
Brown S.;Platt D.
Burgess S.;Moen A.
Harding R.;Robinson M.
Holden M.;Smith D.
Mardle W.;Carver R.
Whitlock S.;Williams P.
Manley P.;Taylor P.
Askew D.;Taylor P.
Lloyd C.;Manley P.
Baxter R.;Manley P.
Lloyd C.;Burnett R.
Part J.;Taylor P.
Priestley D.;Askew D.
Askew D.;Scholten R.
Burgess S.;Taylor P.
Harrington R.;Priestley D.
Lowe J.;Manley P.
Ovens D.;Burnett R.
Part J.;Beaton S.
Smith D.;Baxter R.
Warriner-Little A.;Lloyd C.
Askew D.;Mason C.
Baxter R.;Painter K.
Beaton S.;Anderson B.
Burnett R.;Evison P.
Harrington R.;Deller K.
Harvey J.;Burgess S.
Lowe J.;Fitton L.
Manley P.;Brown S.
Ovens D.;Jenkins A.
Part J.;Manning M.
Priestley D.;Chapman M.
Roy A.;Lloyd C.
Scholten R.;Lazarenko C.
Smith D.;Lim P.
Taylor P.;Williams P.
Warriner-Little A.;Harding R.
Taylor P.;Part J.
Askew D.;Taylor P.
Harrington R.;Part J.
Deller K.;Taylor P.
Harvey J.;Askew D.
Part J.;Warriner-Little A.
Scholten R.;Harrington R.
Deller K.;Burnett R.
Fitton L.;Taylor P.
Harvey J.;Lowe J.
Lim P.;Warriner-Little A.
Part J.;Smith D.
Roy A.;Askew D.
Scholten R.;Lazarenko C.
Stoddart G.;Harrington R.
Burgess S.;Scholten R.
Harrington R.;Anderson B.
Lazarenko C.;Cummings S.
Lim P.;Lauby D. Sr.
Part J.;Lloyd C.
Smith D.;Evison P.
Stoddart G.;King G.
Warriner-Little A.;Harding R.
Askew D.;Manning M.
Burnett R.;Brown S.
Fitton L.;Ovens D.
Lowe J.;Spedding G.
Manley P.;Harvey J.
Priestley D.;Deller K.
Roy A.;Raw S.
Taylor P.;Justice N.
Priestley D.;Taylor P.
Manley P.;Priestley D.
Smith D.;Taylor P.
Lowe J.;Smith D.
Manley P.;Evison P.
Priestley D.;Burgess S.
Warriner-Little A.;Taylor P.
Justice N.;Burgess S.
Lowe J.;Deller K.
Manley P.;Brown S.
Priestley D.;Harvey J.
Raw S.;Evison P.
Smith D.;Part J.
Stoddart G.;Taylor P.
Warriner-Little A.;Roy A.
Brown S.;Bristow E.
Burgess S.;Lloyd C.
Deller K.;Mawson G.
Evison P.;Verrier G.
Harrington R.;Lowe J.
Harvey J.;Spiolek K.
Justice N.;Allsopp D.
Manley P.;Anderson B.
Part J.;Bunyard J.
Priestley D.;Roncero B.
Raw S.;Cummings S.
Roy A.;Harding R.
Smith D.;Lazarenko C.
Stoddart G.;Lauby D. Sr.
Taylor P.;Manning M.
Warriner-Little A.;Lim P.
