source;target
Hamilton A.;Lewis A.
Lewis A.;Wade J.
Hamilton A.;Whitlock S.
Lewis A.;Jenkins T.
Whitlock S.;Anderson G.
Part J.;Wade J.
Hamilton A.;Huybrechts K.
Anderson G.;Lloyd C.
Chisnall D.;Hamilton A.
Whitlock S.;van Gerwen M.
Huybrechts K.;Nicholson P.
Wade J.;Farmer S.
Part J.;Painter K.
Pipe J.;Jenkins T.
Lewis A.;Jones W.
Anderson G.;Petersen D.
Lloyd C.;Rand S.
Whitlock S.;Beaton S.
King M.;van Gerwen M.
Nicholson P.;Tabern A.
Taylor P.;Chisnall D.
Richardson J.;Huybrechts K.
Van der Voort V.;Hamilton A.
Burnett R.;Part J.
Jenkins T.;Stompe C.
Farmer S.;Munch K.
Wade J.;Klaasen J.
Walsh M.;Painter K.
Newton W.;Pipe J.
Lewis A.;Thornton R.
Jones W.;Scholten R.
Brown S.;Petersen D.
Whitlock S.;Smith D.
Part J.;Henderson J.
Petersen D.;de Sousa J.
Smith A.;Rand S.
Jenkins T.;Cullen J.
Anderson G.;Artut J.
Osborne C.;van Gerwen M.
Cullen J.;Ferenc O.
Lloyd C.;Young D.
Wade J.;Korte P.
Painter K.;Monk A.
King M.;Kime G.
Laursen P.;Korte P.
Hamilton A.;Alcinas T.
Walsh M.;French W.
van Barneveld R.;Richardson J.
Dudbridge M.;Chisnall D.
Dolan B.;Huybrechts K.
Finnan C.;French W.
Ovens D.;Munch K.
Nicholson P.;Suljovic M.
Van der Voort V.;Hylton M.
Munch K.;Peng L. Ch.
Beaton S.;Caris M.
Tabern A.;Perez C.
Thornton R.;White I.
Baxter R.;Farmer S.
Burger D.;Perez C.
Wright P.;Klaasen J.
Taylor P.;Muramatsu H.
Newton W.;van de Rijk K.
Stompe C.;Smith M.
Muramatsu H.;Nilsson D.
Pipe J.;Reed S.
Jones W.;MacKenzie S.
Lewis A.;Heydon N.
Webster M.;Burnett R.
Barham P.;MacKenzie S.
Caven J.;Scholten R.
Lewis A.;Anderson G.
Jenkins T.;Anderson G.
Webster M.;Lewis A.
Taylor P.;Webster M.
Anderson G.;van Barneveld R.
Lewis A.;Van der Voort V.
Newton W.;Jenkins T.
Suljovic M.;Newton W.
van Barneveld R.;Osborne C.
Whitlock S.;Van der Voort V.
Jenkins T.;Walsh M.
Smith A.;Anderson G.
Lewis A.;Thornton R.
Taylor P.;Wright P.
Webster M.;Hylton M.
van Barneveld R.;McDine K.
King M.;Smith A.
Anderson G.;Priestley D.
Osborne C.;Caven J.
Wade J.;Suljovic M.
Whitlock S.;Ovens D.
Newton W.;Dolan B.
Jenkins T.;Brown S.
Jones W.;Van der Voort V.
Walsh M.;Tabern A.
Taylor P.;Laursen P.
Lewis A.;Dudbridge M.
Lloyd C.;Hylton M.
Hamilton A.;Thornton R.
Nicholson P.;Wright P.
Baxter R.;Webster M.
King M.;Caris M.
Priestley D.;Roith B.
Walsh M.;Pipe J.
Caris M.;Burger D.
Smith A.;Tichowitsch S.
Caven J.;Petersen D.
van Barneveld R.;Hine S.
Bates B.;McDine K.
Petersen D.;Madhoo N.
Osborne C.;Thompson C.
Van der Voort V.;Ridd P.
Klaasen J.;Brown S.
Jenkins T.;Cullen J.
Mansell M.;Ridd P.
van Gerwen M.;Suljovic M.
Ovens D.;Artut J.
Wade J.;Alcinas T.
Painter K.;Dolan B.
Artut J.;MacKenzie S.
Tabern A.;Burnett R.
Part J.;Laursen P.
Newton W.;Young D.
Thornton R.;Heydon N.
Laursen P.;Krcmar B.
Jones W.;Shepherd K.
Anderson G.;Hashimoto M.
Whitlock S.;Evans S.
Dudbridge M.;Roy A.
Padgett M.;Hashimoto M.
Hamilton A.;Smith D.
Baxter R.;Scholten R.
Lewis A.;Eccles T.
Lloyd C.;Welge A.
Scholten R.;Viinikka V.
Stompe C.;Wright P.
Taylor P.;Mawson G.
Webster M.;Maish S.
Beaton S.;Hylton M.
Mawson G.;Gionzon J.
Nicholson P.;Farmer S.
Taylor P.;Whitlock S.
Webster M.;van Barneveld R.
Taylor P.;Webster M.
van Barneveld R.;Whitlock S.
Taylor P.;Lewis A.
van Barneveld R.;Baxter R.
Whitlock S.;Wade J.
Stompe C.;Webster M.
van Barneveld R.;Painter K.
Wade J.;Hamilton A.
Baxter R.;Lloyd C.
Stompe C.;Dudbridge M.
Jenkins T.;Whitlock S.
Shepherd K.;Webster M.
Lewis A.;McDine K.
Taylor P.;Thornton R.
Wade J.;van Gerwen M.
Whitlock S.;Jones W.
Jenkins T.;Young D.
Hamilton A.;Beaton S.
Baxter R.;Anderson G.
van Barneveld R.;Dolan B.
Webster M.;Manley P.
Painter K.;Van der Voort V.
Part J.;Shepherd K.
Lloyd C.;Ovens D.
Thornton R.;Artut J.
Taylor P.;Hine S.
Tabern A.;Dudbridge M.
Lewis A.;Newton W.
McDine K.;Bates B.
King M.;Stompe C.
Wade J.;Brown S.
van Gerwen M.;Wright P.
Caris M.;Ruiz F.
Jones W.;Roy A.
Ovens D.;Van der Rassel J.
Osborne C.;Whitlock S.
Beaton S.;Rodriguez C.
Seyler T.;Yongsheng S.
Smith A.;Young D.
Baxter R.;Muramatsu H.
Jenkins T.;Nicholson P.
Part J.;Greebe T.
Muramatsu H.;Kciuk K.
Van der Voort V.;Duo D.
Hamilton A.;Kijamet O.
van Barneveld R.;Parry W.
Caven J.;Anderson G.
Hazel P.;Kijamet O.
Painter K.;Suljovic M.
Tabern A.;MacNeil K.
Walsh M.;Webster M.
