source;target
Dudbridge M.;Welge A.
Eccles T.;Dolan B.
MacNeil K.;Madhoo N.
Manley P.;Jenkins A.
Klaasen J.;Bates B.
O'Neill A.;Francis L.
King M.;Clark M.
Newton W.;Komula J.
Shepherd K.;Burnett S.
Stompe C.;Maish S.
Scholten R.;Hine S.
Komula J.;Konchikov R.
Thornton R.;Perez C.
Taylor P.;Monk C.
Priestley D.;McDine K.
Laursen P.;Perez C.
Mardle W.;Artut J.
Taylor P.;van Barneveld R.
Taylor P.;King M.
van Barneveld R.;Wade J.
Nicholson P.;Wade J.
van Barneveld R.;Klaasen J.
King M.;Bates B.
Taylor P.;Stompe C.
Hamilton A.;Klaasen J.
Mardle W.;Stompe C.
Nicholson P.;Priestley D.
Smith D.;King M.
van Barneveld R.;Baxter R.
Wade J.;Van der Voort V.
Bates B.;Dudbridge M.
Lewis A.;Nicholson P.
Osborne C.;Van der Voort V.
Taylor P.;Painter K.
Wade J.;Eccles T.
Baxter R.;Ovens D.
Davis B.;Bates B.
Hamilton A.;Ayres T.
King M.;Walsh M.
Klaasen J.;Van der Rassel J.
van Barneveld R.;Newton W.
Mardle W.;Thornton R.
Priestley D.;Magowan J.
Rodriguez C.;Painter K.
Smith D.;McDine K.
Suljovic M.;Dudbridge M.
Tabern A.;Stompe C.
Taylor P.;van Gerwen M.
Baxter R.;Kantele M.
Eccles T.;Van Eijden R.
Gray A.;Nicholson P.
Osborne C.;Losper C.
Shepherd K.;Van der Rassel J.
Smith A.;Ayres T.
Van der Voort V.;Bezzeg N.
Wade J.;Dolan B.
King M.;Yongsheng S.
Lewis A.;Stewart R.
Lloyd C.;Klaasen J.
Mason C.;Magowan J.
Dudbridge M.;Fullwell N.
Hamilton A.;Barnard M.
Manley P.;Suljovic M.
Mardle W.;Fatum D.
Newton W.;Laursen P.
Ovens D.;Maish S.
van Barneveld R.;Stephenson M.
Walsh M.;Caven J.
Bates B.;McBrearty F.
Jenkins T.;Smith D.
Painter K.;Clark M.
Priestley D.;French W.
Roy A.;McDine K.
Tabern A.;Beaton S.
Taylor P.;Grubb S.
van Gerwen M.;Young D.
Jenkins A.;Stompe C.
Jones W.;Thornton R.
Part J.;Davis B.
Scholten R.;Rodriguez C.
Fatum D.;O'Connor S.
French W.;Nagakawa A.
Kantele M.;Ilagan L.
Losper C.;Fitzgerald S.
Schnier H.;Yongsheng S.
Van Eijden R.;Dobromyslova A.
Shepherd K.;Part J.
Mardle W.;Shepherd K.
Painter K.;Part J.
Manley P.;Shepherd K.
Painter K.;Lewis A.
Part J.;Wade J.
Taylor P.;Mardle W.
Lewis A.;Eccles T.
Manley P.;Van der Rassel J.
Roy A.;Part J.
Shepherd K.;Bates B.
van Barneveld R.;Painter K.
Wade J.;Dudbridge M.
Baxter R.;Dudbridge M.
Hamilton A.;Roy A.
Maish S.;Eccles T.
Scholten R.;Mardle W.
Taylor P.;Tabern A.
Bates B.;Extercatte E.
Lewis A.;Van der Voort V.
Painter K.;Mason C.
Part J.;Suljovic M.
Shepherd K.;McGowan M.
van Barneveld R.;Clark J.
Wade J.;Beaton S.
Jenkins A.;Tabern A.
Manley P.;Warriner-Little A.
Mardle W.;Caven J.
Scholten R.;King M.
Taylor P.;Walsh M.
Van der Rassel J.;Ovens D.
Baxter R.;Olson D.
Beaton S.;Evans S.
Dudbridge M.;Hine S.
Osborne C.;Extercatte E.
Part J.;Losper C.
Smith A.;Suljovic M.
Wade J.;MacArthur S.
Warriner-Little A.;Yongsheng S.
Hamilton A.;Kwadijk L.
Jenkins A.;Navratil M.
Jones W.;Eccles T.
Lewis A.;Askew D.
Priestley D.;Maish S.
Roy A.;Parry W.
van Barneveld R.;Forde A.
Van der Voort V.;Klaasen J.
Anderson B.;Clark J.
Bates B.;Convery G.
Jenkins T.;Shepherd K.
Mason C.;Brown S.
McGowan M.;Barry J.
Newton W.;Caven J.
Ovens D.;Monk C.
Painter K.;Mawson G.
Barellano R.;Navratil M.
Bolton A.;Extercatte E.
Nagakawa A.;Forde A.
Sayed A.;Yongsheng S.
King M.;Rosenauer M.
Manley P.;Greebe T.
Scholten R.;Clark M.
Taylor P.;van Gerwen M.
Gray A.;Walsh M.
Lloyd C.;Van der Rassel J.
Mardle W.;Carver R.
Tabern A.;Laursen P.
van Barneveld R.;Taylor P.
Taylor P.;Hamilton A.
van Barneveld R.;Jenkins A.
Jenkins A.;Osborne C.
Jenkins T.;Hamilton A.
Taylor P.;Webster D.
van Barneveld R.;Tabern A.
Havenga W.;Webster D.
Jenkins T.;Wade J.
Lewis A.;Jenkins A.
Priestley D.;Hamilton A.
Scholten R.;Osborne C.
Taylor P.;Mason C.
Askew D.;Tabern A.
Jenkins A.;Smith A.
Osborne C.;Newton W.
Priestley D.;Laursen P.
Scholten R.;Roy A.
van Barneveld R.;Vonck R.
Wade J.;Ladley D.
Caves A.;Askew D.
Dudbridge M.;Hamilton A.
Ovens D.;Tabern A.
Taylor P.;McGowan M.
Gray A.;Webster D.
Jenkins T.;Beaton S.
Lewis A.;Jones W.
Lloyd C.;van Barneveld R.
Manley P.;Havenga W.
Mason C.;Part J.
Vonck R.;Cyr B.
Askew D.;Burchell M.
Dudbridge M.;Kuczynski J.
Jenkins A.;Davis B.
Newton W.;Wada T.
Painter K.;Osborne C.
Roy A.;Burnett R.
Scholten R.;Miller R.
Smith A.;Yongsheng S.
Beaton S.;Convery G.
Hamilton A.;Welding G.
Jones W.;Branks I.
Mardle W.;Caves A.
Monk C.;Laursen P.
Priestley D.;Schenk J.
Sams L.;Ladley D.
Wade J.;French W.
Anderson B.;Webster D.
Bates B.;Cyr B.
Lewis A.;Fleet A.
Lloyd C.;Seyler T.
Ovens D.;Smith S.
van Barneveld R.;Clegg M.
Walsh M.;Vonck R.
Warriner-Little A.;Tabern A.
Baxter R.;Gray A.
Clark M.;McGowan M.
Jenkins T.;Lawrence M.
Maish S.;Havenga W.
Manley P.;Jowett D.
Mason C.;Atwood W.
Part J.;Green A.
Taylor P.;Pein A.
Manley P.;Taylor P.
Jones W.;Manley P.
Taylor P.;Mardle W.
Manley P.;Lewis A.
Mardle W.;Warriner-Little A.
Taylor P.;Painter K.
Welding G.;Jones W.
Manley P.;Smith D.
Mardle W.;Part J.
Painter K.;Dudbridge M.
Scholten R.;Lewis A.
Smith A.;Warriner-Little A.
Taylor P.;Hamilton A.
Carver R.;Smith A.
Jenkins T.;Hamilton A.
Jones W.;Alker S.
Mardle W.;Clarys E.
Part J.;Mason C.
Warriner-Little A.;Convery G.
Welding G.;Kuczynski J.
Dudbridge M.;Tabern A.
Ovens D.;Alker S.
Painter K.;Newton W.
Priestley D.;Lewis A.
Scholten R.;Seyler T.
Taylor P.;Clark M.
Walsh M.;Smith D.
Jenkins A.;Jones W.
Kuczynski J.;Van der Rassel J.
Manley P.;Clark J.
Welding G.;Extercatte E.
Askew D.;Convery G.
Clarys E.;Cadogan W.
Harvey J.;Seyler T.
Mason C.;Hine S.
Monk C.;Smith A.
Painter K.;Newton D.
Roy A.;Tabern A.
Warriner-Little A.;Welge A.
Anderson B.;Hamilton A.
Baxter R.;Carver R.
Clark M.;Woods K.
Dudbridge M.;Young D.
Jenkins T.;Mann J.
Mardle W.;Roach B.
Ovens D.;Wylie G.
Priestley D.;Magowan J.
Jenkins A.;Bulen P.
Lloyd C.;Welding G.
Manley P.;Spiolek K.
Sams L.;Kuczynski J.
Scholten R.;Whitcombe D.
Smith D.;Salmon M.
Walsh M.;Parry W.
Webster D.;Extercatte E.
Beaton S.;Van der Rassel J.
Caves A.;Alker S.
Lewis A.;Honey D.
Maish S.;Clark J.
Newton W.;Matsunaga Y.
Part J.;Liu C. A.
Taylor P.;Platt D.
Wade J.;Jones W.
