source;target
Smith M.;Wright P.
Wright P.;Anderson G.
Smith M.;Wade J.
Price G.;Smith M.
Wright P.;Rydz C.
Humphries L.;Anderson G.
Wade J.;King M.
Wright P.;Searle R.
Anderson G.;Cross R.
Wade J.;Kleermaker M.
Dobey C.;Humphries L.
Soutar A.;Rydz C.
Smith R.;King M.
Clayton J.;Smith M.
Price G.;van Duijvenbode D.
Anderson G.;White I.
Aspinall N.;Rydz C.
Chisnall D.;Humphries L.
de Sousa J.;Soutar A.
van Gerwen M.;Dobey C.
Wright P.;Heta D.
Cross R.;Gurney D.
Cullen J.;Kleermaker M.
Searle R.;Noppert D.
Lennon S.;King M.
Clayton J.;Clemens G.
Price G.;Huybrechts K.
Wade J.;Van der Voort V.
Hempel F.;Smith R.
Smith M.;O'Connor W.
Smith R.;van Duijvenbode D.
Dobey C.;Rodriguez Ru. J.
Cross R.;van Barneveld R.
Clemens G.;Williams L.
Noppert D.;Heaver J.
de Sousa J.;Lowe J.
Suljovic M.;Soutar A.
Dolan B.;Rydz C.
Heta D.;Woodhouse L.
Whitlock S.;Kleermaker M.
Huybrechts K.;Beaton S.
van Duijvenbode D.;Koltsov B.
Aspinall N.;Murnan J.
Cullen J.;Williams J.
Humphries L.;Rodriguez R.-J.
Durrant G.;O'Connor W.
Searle R.;Borland W.
Petersen D.;Smith R.
van den Bergh D.;Hempel F.
Smith M.;Meulenkamp R.
Van der Voort V.;Hunt A.
Chisnall D.;de Decker M.
King M.;Joyce R.
Lowe J.;Larsson D.
Williams L.;Shibata T.
Wade J.;Kuivenhoven M.
van Barneveld R.;Ilagan L.
Rodriguez Ru. J.;Robb B.
Woodhouse L.;Wilson J.
Clayton J.;Barry K.
Beaton S.;Sherrock F.
Hempel F.;Schindler M.
Kleermaker M.;Michael J.
Bunting S.;Smith R.
Soutar A.;Portela D.
Heaver J.;Mathers G.
Kuivenhoven M.;Smith K.
van Gerwen M.;Barstow C.
Rodriguez R.-J.;Kenny N.
Evetts T.;Williams J.
Hunt A.;Krcmar B.
White I.;Landman C.
Labanauskas D.;de Decker M.
Rydz C.;Yamada Y.
Hughes J.;Smith R.
Wright P.;Meikle R.
Smith R.;Smith J.
Borland W.;Brooks B.
Murnan J.;Lim P.
Ratajski K.;Lennon S.
Wattimena J.;Koltsov B.
Barry K.;Lam R.
Joyce R.;Benecky R.
Anderson G.;Lewis A.
Meulenkamp R.;Ashton L.
Meikle R.;Schmutzler F.
O'Connor W.;Lauby D. Jr.
Gurney D.;Evans R.
Barstow C.;Norman J.
Mitchell S.;Landman C.
Lennon S.;Razma M.
Price G.;Edhouse R.
Lewis A.;Campbell M.
Evans R.;Kumar N.
Edhouse R.;Hudson P.
Anderson G.;Price G.
Chisnall D.;Anderson G.
Bunting S.;Price G.
van Gerwen M.;Chisnall D.
Price G.;Gurney D.
Anderson G.;van Duijvenbode D.
Ratajski K.;Bunting S.
Chisnall D.;van den Bergh D.
Price G.;King M.
van Duijvenbode D.;Durrant G.
Petersen D.;Anderson G.
Bunting S.;Searle R.
Van der Voort V.;Gurney D.
van Gerwen M.;Cullen J.
Clemens G.;Ratajski K.
Chisnall D.;Noppert D.
Lowe J.;Petersen D.
Gurney D.;Dobey C.
Wade J.;Bunting S.
Durrant G.;Baggish D.
Price G.;Dolan B.
Anderson G.;Suljovic M.
Aspinall N.;Van der Voort V.
van Duijvenbode D.;Hunt A.
de Sousa J.;King M.
van Gerwen M.;Evans R.
Wright P.;Clemens G.
Cullen J.;Clayton J.
